Longitude,Latitude,Community,Incorporation_Type,Area_Type,Borough_Census_Area,2021_Population,Subsistence_Use,Essential_Air_Service,Environmentally_Threatened
-164.52984686,62.7769473800001,Emmonak,2nd Class City,Community,Kusilvak Census Area,861,1,0,1
-151.08274455,59.8127242100001,Razdolna Village,Locality,Community,Kenai Peninsula Borough,0,0,0,0
-155.43702258,61.3553888800001,Lime Village,Unincorporated CDP,Community,Bethel Census Area,5,1,0,1
-165.2513918,60.5861689800001,Tununak,Unincorporated CDP,Community,Bethel Census Area,396,1,0,1
-135.3611485,59.48035687,Dyea,Locality,Community,Municipality of Skagway,0,0,0,0
-154.37521598,63.01373203,Nikolai,2nd Class City,Community,Yukon-Koyukuk Census Area,92,1,0,1
-148.91686675,63.7323200700001,Denali Park,CDP,Community,Denali Borough,160,0,0,0
-149.82408258,61.0848208400001,Rabbit Creek,Locality,Place of Interest,Municipality of Anchorage,4166,0,0,0
-170.28122427,63.43491341,Saint Lawrence Island,Unincorporated,Place of Interest,Nome Census Area,0,1,0,0
-157.47804697,59.3502442700001,Ekwok,2nd Class City,Community,Dillingham Census Area,103,1,1,1
-160.5064,55.1828,Unga,Locality,Place of Interest,Aleutians East Borough,0,1,0,0
-132.25626082,55.7392589,Meyers Chuck,Locality,Place of Interest,City and Borough of Wrangell,0,0,0,0
-162.69971497,54.4558662600001,Pauloff Harbor,Locality,Place of Interest,Aleutians East Borough,0,1,0,0
-163.6763889,64.895,Council,Unincorporated,Place of Interest,Nome Census Area,2,1,0,0
-135.73906162,58.4133428700001,Gustavus,2nd Class City,Community,Hoonah-Angoon Census Area,658,1,1,0
-142.92370024,61.43287967,McCarthy,Unincorporated CDP,Community,Copper River Census Area,109,1,1,0
-147.39714881,66.3603484600001,Beaver,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,56,1,0,1
-130.02551423,55.9157523000001,Hyder,Unincorporated CDP,Community,Prince of Wales-Hyder Census Area,42,1,0,0
-157.33465586,61.7822606500001,Red Devil,Unincorporated CDP,Community,Bethel Census Area,23,1,0,0
-163.41049001,64.68127766,White Mountain,2nd Class City,Community,Nome Census Area,189,1,0,1
