Longitude,Latitude,Community,IncorporationType,AreaType,Population,Year,Is_Subsistence_Use,Is_Essential_Air_Service,Is_Environmentally_Threatened
-166.7342719,68.34808223,Point Hope,2nd Class City,Community,697,2014,1,0,1
-164.5399655,67.7273868300001,Kivalina,2nd Class City,Community,429,2016,1,0,1
-136.3454861,58.19391484,Elfin Cove,Unincorporated CDP,Community,16,2015,1,1,0
-158.6190156,56.93007699,Port Heiden,2nd Class City,Community,114,2015,1,1,1
-164.6675476,62.6869771400001,Alakanuk,2nd Class City,Community,707,2016,1,0,1
-163.0367115,64.5423909500001,Golovin,2nd Class City,Community,185,2015,1,0,1
-162.7149874,55.2065679500001,Cold Bay,2nd Class City,Community,89,2014,1,0,1
-162.5194696,60.89457329,Kasigluk,Unincorporated CDP,Community,602,2016,1,0,1
-152.314687,63.88261006,Lake Minchumina,Unincorporated CDP,Place of Interest,10,2015,1,1,0
-149.3695472,60.41930962,Crown Point,CDP,Community,75,2014,1,0,0
-152.3977209,57.7931666200001,Kodiak Island Borough,2nd Class Borough,Community,13797,2014,0,0,0
-150.7622222,60.5019444000001,Funny River,CDP,Community,877,2015,1,0,0
-154.8575714,59.9678738700001,Nondalton,2nd Class City,Community,164,2014,1,0,1
-155.5883531,62.9501408500001,McGrath,2nd Class City,Community,302,2016,1,0,1
-154.8948002,59.72097095,Newhalen,2nd Class City,Community,196,2015,1,0,1
-151.7185739,59.44059723,Seldovia,1st Class City,Community,233,2014,1,0,0
-152.701315,66.55452803,Alatna,Unincorporated CDP,Community,26,2014,1,0,1
-151.2986599,59.7254375000001,Fritz Creek,CDP,Community,2019,2014,0,0,0
-174.2001988,52.1978076400001,Atka,2nd Class City,Community,70,2014,1,1,1
-164.2803406,60.1580149500001,Chefornak,2nd Class City,Community,420,2014,1,0,1
-163.2870194,62.0318125700001,Pitkas Point,Unincorporated CDP,Community,96,2014,1,0,1
-150.1119993,62.32317025,Talkeetna,CDP,Community,850,2015,0,0,0
-149.8014267,61.6312394,Houston,2nd Class City,Community,2163,2016,0,0,0
-159.05493,58.97954187,Manokotak,2nd Class City,Community,482,2015,1,1,1
-161.7713652,60.7226475400001,Oscarville,Unincorporated CDP,Community,53,2015,1,0,1
-142.9877619,63.3358964400001,Tok,Unincorporated CDP,Community,1239,2016,1,0,0
-170.4840268,63.6929776000001,Savoonga,2nd Class City,Community,718,2014,1,0,1
-149.4411111,60.0725,Lowell Point,CDP,Community,68,2015,1,0,0
-152.6494805,66.56004842,Allakaket,2nd Class City,Community,165,2016,1,0,1
